,System,Night,T_sececl,Tmid,Obs_start,Obs_end,Sunalt_start,Sunalt_mid,Sunalt_end,Airm_start,Airm_mid,Airm_end,Moon_dist,Timing,GoodCond,GoodCond_before,GoodCond_after
0,GJ 9827 c,2021-07-07,2459403.9045309434,2459403.8179075574,2459403.7554131723,2459403.8804019773,-71.59,-51.17,-30.99,1.51,1.17,1.09,94.87,Before,True,2.4,2.46
1,GJ 9827 c,2021-07-18,2459414.8478901773,2459414.761266035,2459414.6987711033,2459414.8237610003,-86.07,-69.58,-49.15,1.83,1.27,1.1,120.75,Before,True,1.76,3.8
2,GJ 9827 c,2021-08-09,2459436.734973772,2459436.8216001606,2459436.75910356,2459436.8840968003,-68.05,-48.06,-27.63,1.11,1.12,1.33,165.55,After,True,4.65,2.19
3,GJ 9827 c,2021-08-20,2459447.678749914,2459447.765377664,2459447.7028800813,2459447.8278752873,-77.24,-63.93,-44.23,1.16,1.09,1.21,39.89,After,True,4.02,3.41
4,GJ 9827 c,2021-08-31,2459458.6227078815,2459458.709337108,2459458.64683846,2459458.7718357965,-66.29,-72.88,-59.22,1.25,1.1,1.13,97.77,After,True,3.4,4.23
5,GJ 9827 c,2021-09-11,2459469.5668608504,2459469.6534916423,2459469.5909918654,2459469.7159914593,-48.9,-65.11,-67.97,1.39,1.13,1.1,114.8,After,True,2.78,4.84
6,GJ 9827 c,2021-09-22,2459480.511215248,2459480.5978476177,2459480.535346703,2459480.6603485704,-30.42,-49.12,-62.93,1.61,1.2,1.09,33.2,After,True,2.16,5.46
7,GJ 9827 c,2021-09-29,2459487.8075628607,2459487.7209292934,2459487.658427564,2459487.7834310597,-60.36,-60.26,-47.04,1.09,1.21,1.65,117.74,Before,True,5.35,2.05
8,GJ 9827 c,2021-10-10,2459498.7522475687,2459498.665612495,2459498.6031096815,2459498.728115347,-46.66,-57.31,-55.07,1.09,1.14,1.41,89.91,Before,True,3.93,2.65
9,GJ 9827 c,2021-10-21,2459509.697116317,2459509.610479877,2459509.547976078,2459509.672983715,-29.89,-45.53,-53.9,1.13,1.1,1.26,53.62,Before,True,2.49,3.26
10,GJ 9827 d,2021-07-28,2459424.6561758923,2459424.7302567614,2459424.667761181,2459424.7927523754,-77.41,-78.5,-58.76,1.89,1.29,1.11,19.44,After,True,1.67,4.49
11,GJ 9827 d,2021-08-03,2459430.8572354186,2459430.783153916,2459430.720657846,2459430.8456500247,-79.9,-61.3,-40.91,1.26,1.1,1.13,90.75,Before,True,3.33,3.17
12,GJ 9827 d,2021-08-28,2459455.6620010105,2459455.7360851695,2459455.6735868123,2459455.798583567,-72.6,-69.53,-51.91,1.18,1.09,1.18,62.69,After,True,3.84,3.78
13,GJ 9827 d,2021-09-03,2459461.8633400444,2459461.789255056,2459461.7267560433,2459461.851754106,-69.36,-53.25,-33.54,1.09,1.2,1.62,135.57,Before,True,5.51,2.11
