,System,Night,Tmid,Tmid_err,Obs_start,Obs_end,Trans_start,Trans_end,Sunalt_start,Sunalt_mid,Sunalt_end,Airm_start,Airm_mid,Airm_end,Moon_dist,V_bary,GoodCond,GoodCond_before,GoodCond_after,GoodCond_2
0,GJ 9827 c,2021-10-01,2459489.6316634174,0.030329486452790454,2459489.5728083127,2459489.6905185585,2459489.593641646,2459489.669685225,-40.49,-55.28,-61.61,1.2,1.09,1.14,141.34,-9.1,True,2.2839213609695435,3.1452805437147617,True
1,GJ 9827 c,2021-10-12,2459500.57638,0.030519331781020367,2459500.5175238866,2459500.6352361483,2459500.53835722,2459500.614402815,-22.37,-39.43,-52.76,1.32,1.12,1.1,63.08,-14.23,True,0.8586385734379292,3.7512239031493664,True
2,GJ 9827 c,2022-07-16,2459777.8336005644,0.03532894278010594,2459777.774752093,2459777.892449069,2459777.7955854265,2459777.8716157353,-65.26,-46.02,-27.01,1.24,1.1,1.12,10.23,24.69,True,2.437083352357149,1.157603356987238,True
3,GJ 9827 c,2022-07-27,2459788.777046024,0.03551880245292625,2459788.7181969164,2459788.8358951644,2459788.73903025,2459788.815061831,-81.9,-63.99,-44.76,1.38,1.14,1.09,127.68,21.46,True,1.8005935996770859,2.4621573016047478,True
4,GJ 9827 c,2022-08-07,2459799.7206267305,0.03570866255462391,2459799.661776835,2459799.779476658,2459799.6826101686,2459799.7586433245,-74.43,-79.05,-62.02,1.61,1.21,1.09,90.2,17.45,True,1.1673461347818375,3.7257989421486855,True
5,GJ 9827 c,2022-08-18,2459810.6643667724,0.03589852307839418,2459810.6055159783,2459810.723217597,2459810.626349312,2459810.7023842637,-56.1,-73.24,-75.48,1.99,1.34,1.13,63.92,12.88,True,0.537920068949461,4.9502810798585415,True
6,GJ 9827 c,2022-10-19,2459872.682505117,0.036974407038382645,2459872.6236483525,2459872.741361912,2459872.644481686,2459872.7205285784,-48.72,-54.94,-49.88,1.11,1.28,1.8,151.02,-17.55,True,3.334179148077965,0.7613633461296558,True
7,GJ 9827 c,2022-10-30,2459883.627506322,0.037164270212261666,2459883.5686487155,2459883.6863639606,2459883.589482049,2459883.665530627,-33.67,-46.27,-51.19,1.09,1.18,1.51,59.81,-21.84,True,1.8790717273950577,1.3604796901345253,True
8,GJ 9827 c,2023-08-14,2460171.826020045,0.04216411982764492,2460171.7671695347,2460171.8848705897,2460171.788002868,2460171.864037256,-64.78,-45.98,-26.74,1.09,1.15,1.41,138.04,14.3,True,4.139613155275583,1.1230515651404858,True
9,GJ 9827 c,2023-08-25,2460182.7698698863,0.0423539914918299,2460182.7110184105,2460182.8287213976,2460182.731851744,2460182.807888064,-75.06,-61.53,-43.1,1.12,1.1,1.26,85.99,9.39,True,3.5128206610679626,2.2847787737846375,True
