pl_name,pl_bmassj,pl_eqt,pl_imppar,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_projobliq,pl_radj,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ra,dec,sy_hmag,sy_jmag,sy_kmag,sy_vmag,st_logg,st_mass,st_met,st_rad,st_radv,st_teff,st_vsin
"OGLE-2016-BLG-1227L b",0.79000,,,,,,,,,3.400000,,1.240,,,,,,265.5971250,-33.7597778,,,,,,0.10,,,,,
"GJ 480 b",0.04153,,,0.100000,,151.0000,9.56700000,0.00500000,-0.00500000,0.068000,,0.330,,,,,,189.7134226,11.6950708,6.9390000,7.5810000,6.6910000,11.4900000,4.78,0.45,,0.46,,3381.00,
"Kepler-276 c",0.05200,5.63000000000e+02,0.3966,0.000000,86.920,,31.88400000,,,0.199400,,0.259,0.091000,5.0990000,2454993.206960,0.004530,-0.004530,293.5681970,39.0363123,13.8670000,14.2340000,13.8380000,15.4810000,4.46,1.10,0.020,1.03,,5779.00,
"Kepler-829 b",0.01600,8.57000000000e+02,0.0750,0.000000,89.820,,6.88337562,0.00001963,-0.00001963,0.067800,,0.188,0.045840,2.2442000,2454968.264580,0.002430,-0.002430,282.3328312,42.4638125,13.3640000,13.6990000,13.2900000,14.9730000,4.46,0.98,0.030,0.97,,5698.00,
"K2-283 b",0.03830,1.18600000000e+03,0.3700,,,,1.92103600,0.00005100,-0.00005300,0.029100,,0.314,0.196700,1.7496000,2457394.909010,0.001210,-0.001160,13.1943679,9.6929181,12.1140000,12.5790000,11.9830000,14.3640000,4.56,0.89,0.280,0.82,,5060.00,
"Kepler-477 b",0.01550,6.49000000000e+02,0.6800,0.000000,87.750,,11.11990653,0.00001160,-0.00001160,0.091100,,0.185,0.063630,3.3296000,2454972.752936,0.000831,-0.000831,288.0674450,42.3553050,11.8320000,12.2740000,11.7290000,13.8350000,4.58,0.87,-0.040,0.79,,5240.00,
"HAT-P-15 b",1.94000,9.04000000000e+02,0.3420,0.190000,89.100,262.0000,10.86350000,0.00002700,-0.00002700,0.096500,,1.060,1.000000,5.4840000,2454638.560940,0.000480,-0.000480,66.2481420,39.4606020,9.7520000,10.1940000,9.6410000,12.4100000,4.38,1.00,0.220,1.07,31.23,5568.00,2.0000
"HD 149143 b",1.33000,,,0.016700,,217.0000,4.07182000,0.00001000,-0.00001000,0.053000,,1.220,,,,,,248.2126715,2.0844547,6.5350000,6.7590000,6.4340000,7.8900000,4.25,1.20,0.290,1.44,12.06,5856.00,3.9000
"HD 210702 b",1.80800,,,0.028000,,189.0000,354.10000000,0.70000000,-0.70000000,1.148000,,1.200,,,,,,332.9638643,16.0404806,3.9950000,4.5080000,3.9840000,5.9302200,3.28,1.61,0.040,4.92,16.39,4951.00,1.9900
"HIP 12961 b",0.36000,,,0.170000,,272.0000,57.43500000,0.04200000,-0.04200000,0.250000,,1.180,,,,,,41.6800749,-23.0860048,6.9270000,7.5580000,6.7360000,10.2500000,4.65,0.69,-0.140,0.65,,3901.00,
"XO-5 b",1.19000,1.23000000000e+03,0.5500,0.000000,86.800,331.0100,4.18775580,0.00000060,-0.00000060,0.051500,,1.140,1.080000,3.1176000,2456864.312900,0.000200,-0.000200,116.7163868,39.0944695,10.4430000,10.7740000,10.3450000,12.1980000,4.35,1.04,0.050,1.13,-9.84,5430.00,0.7000
"HD 5608 b",1.68100,,,0.056000,,294.0000,779.90000000,4.90000000,-4.90000000,1.911000,,1.200,,,,,,14.5594349,33.9505774,3.8800000,4.4780000,3.8260000,6.0027200,3.19,1.53,0.140,5.14,-22.80,4877.00,1.3700
"HD 95872 b",3.74000,,,0.060000,,17.0000,4375.00000000,170.00000000,-170.00000000,5.150000,,1.160,,,,,,165.8658796,-22.0943303,8.0400000,8.4060000,7.9560000,9.9550000,4.43,0.70,0.410,0.84,1.72,5312.00,
"OGLE-2015-BLG-0966L b",0.06600,,,,,,,,,2.700000,,0.433,,,,,,268.7542500,-29.0471111,,,,,,0.38,,,,,
"WASP-123 b",0.89900,1.52000000000e+03,0.5300,0.000000,85.740,,2.97764120,0.00000230,-0.00000230,0.042630,,1.318,1.110000,3.0936000,2456845.170820,0.000390,-0.000390,289.4792124,-32.8601244,9.4570000,9.7990000,9.3620010,11.0300000,4.29,1.17,0.180,1.28,16.93,5740.00,1.0000
"tau Cet e",0.01237,,,0.180000,,22.3500,162.87000000,1.08000000,-0.46000000,0.538000,,0.161,,,,,,26.0093029,-15.9337987,1.8000000,2.1490000,1.7940000,3.4960700,4.52,0.78,-0.520,0.83,-17.10,5310.00,1.8000
"K2-254 c",0.01710,5.51000000000e+02,0.4200,,,,12.11839000,0.00303000,-0.00321000,0.092300,,0.195,,,2457590.613600,0.010100,-0.010400,185.5507926,-4.7172908,11.3890000,11.9860000,11.2960000,14.2380000,4.64,0.71,-0.140,0.67,,4629.00,
"HD 26965 b",0.02665,,,0.040000,,148.9690,42.37800000,0.01000000,-0.01000000,,,0.254,,,,,,63.8082666,-7.6676027,2.5940000,3.0130000,2.4980000,4.4201800,4.45,0.78,-0.420,0.87,-43.00,5072.00,0.5000
"EPIC 220554210 c",0.00879,,0.2500,,,,0.70531000,0.00005000,-0.00005000,,,0.132,0.026200,1.7040000,2457430.141100,0.001700,-0.001700,13.4321524,7.9952914,12.0840000,12.4370000,12.0020000,14.2100000,4.47,0.94,0.150,1.01,,5523.00,
"NSVS 14256825 b",14.15000,,,0.120000,,133.3000,3225.00000000,22.00000000,-22.00000000,3.120000,,1.100,,,,,,305.0019460,4.6323715,13.7970000,13.6580000,13.9450000,13.2960000,5.50,0.42,,0.19,,40000.00,
"Kepler-1390 b",0.00553,9.34000000000e+02,0.2260,0.000000,86.120,,6.48021673,0.00004630,-0.00004630,0.066200,,0.105,0.014200,3.2110000,2454965.859710,0.005560,-0.005560,298.6624419,48.2488659,12.8200000,13.1780000,12.7640000,14.5580000,4.45,0.98,-0.010,0.98,,5753.00,
"Kepler-393 c",0.00733,9.01000000000e+02,0.7600,0.000000,89.770,,14.61361200,0.00023100,-0.00023100,0.124000,,0.119,0.007460,5.4010000,2454973.412400,0.007360,-0.007360,290.9952050,45.1921880,12.0870000,12.3250000,11.9950000,13.2580000,4.23,1.21,0.032,1.38,,6189.00,
"Kepler-263 c",0.02100,3.86000000000e+02,0.0600,0.000000,89.800,,47.33277300,0.00045600,-0.00045600,0.242000,,0.220,0.097550,3.0690000,2454984.409500,0.005720,-0.005720,292.4698022,37.5677941,13.5310000,13.9940000,13.5480000,15.4350000,4.58,0.80,-0.031,0.79,,5265.00,
"Kepler-1431 b",0.00869,1.06400000000e+03,0.3019,0.000000,86.800,,5.86601526,0.00004724,-0.00004724,0.064800,,0.131,0.018300,3.9780000,2454969.355970,0.006030,-0.006030,292.6583919,49.8651522,13.7870000,14.0980000,13.7560000,15.4000000,4.42,1.03,0.070,1.03,,5806.00,
"Kepler-237 c",0.01570,6.87000000000e+02,0.1400,0.000000,89.870,,8.10363600,0.00003200,-0.00003200,0.071000,,0.186,0.088790,3.1500000,2455009.948050,0.002370,-0.002370,283.2213438,40.4217620,13.2230000,13.7490000,13.1720000,15.6890000,4.58,0.70,0.030,0.72,,4861.00,
"Kepler-1510 b",0.03540,5.37000000000e+02,0.0100,0.000000,89.990,,84.70392100,0.00189600,-0.00189600,0.408900,,0.300,0.065570,10.4470000,2454985.185900,0.020300,-0.020300,298.9591432,48.2578295,13.7790000,14.0760000,13.7280000,15.3150000,4.29,1.19,0.040,1.28,,6200.00,
"Kepler-169 e",0.01720,5.95000000000e+02,0.7900,0.000000,87.990,,13.76710200,0.00003400,-0.00003400,0.105000,,0.196,0.068480,2.9120000,2455007.810640,0.001450,-0.001450,285.9999204,40.9193822,12.2830000,12.7290000,12.1860000,14.4240000,4.58,0.84,0.050,0.76,,4997.00,
